Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Joni Pitkänen,29,CAR,D,22,1,8,9,2,12,1,0,0,0,6,2,0,34,2.9,73,501:59,22:49,0,0,,34,16,11,12,
Kevin Porter,26,BUF,RW,31,4,5,9,-1,10,3,0,1,0,4,0,1,37,10.8,63,472:05,15:14,109,162,40.2,18,56,21,9,
Paul Postma,23,WPG,D,34,4,5,9,-5,6,2,2,0,0,3,2,0,32,12.5,93,510:58,15:02,0,0,,27,17,9,16,
Tuomo Ruutu,29,CAR,C,17,4,5,9,-6,8,4,0,0,0,5,0,0,30,13.3,59,259:04,15:14,1,7,12.5,7,51,12,8,
Jordan Schroeder,22,VAN,C,31,3,6,9,0,4,2,1,0,2,6,0,0,28,10.7,65,425:06,13:43,140,181,43.6,11,10,14,5,
Nick Schultz,30,EDM,D,48,1,8,9,-13,24,1,0,0,0,8,0,0,33,3.0,68,894:21,18:38,0,2,0.0,107,52,9,27,
Reilly Smith,21,DAL,RW,37,3,6,9,0,8,3,0,0,0,6,0,0,34,8.8,65,403:56,10:55,3,1,75.0,6,18,14,13,
Michael Stone,22,PHX,D,40,5,4,9,2,16,4,1,0,0,3,1,0,50,10.0,104,667:28,16:41,0,0,,64,89,8,4,
Mike Weaver,34,FLA,D,27,1,8,9,-3,8,1,0,0,0,8,0,0,21,4.8,44,543:44,20:08,0,0,,51,49,4,10,
Wojtek Wolski,26,WSH,LW,27,4,5,9,1,6,4,0,0,2,4,1,0,49,8.2,80,360:27,13:21,1,4,20.0,9,5,12,13,
Dainius Zubrus,34,NJD,RW,22,2,7,9,-3,12,2,0,0,0,5,0,2,22,9.1,39,369:16,16:47,11,17,39.3,9,31,6,6,
Alexei Ponikarovsky,32,2TM,LW,42,4,5,9,-1,14,4,0,0,1,5,0,0,51,7.8,101,552:40,13:10,2,5,28.6,15,81,4,7,
Alexei Ponikarovsky,32,WPG,LW,12,2,0,2,-2,6,2,0,0,1,0,0,0,10,20.0,26,142:27,11:52,0,2,0.0,5,14,1,0,
Alexei Ponikarovsky,32,NJD,LW,30,2,5,7,1,8,2,0,0,0,5,0,0,41,4.9,75,410:13,13:40,2,3,40.0,10,67,3,7,
Marc-André Bergeron,32,2TM,D,25,1,8,9,-4,9,1,0,0,0,3,5,0,43,2.3,96,344:08,13:46,0,0,,19,16,7,11,
Marc-André Bergeron,32,TBL,D,12,1,4,5,3,4,1,0,0,0,2,2,0,22,4.5,40,148:18,12:22,0,0,,8,5,1,3,
Marc-André Bergeron,32,CAR,D,13,0,4,4,-7,5,0,0,0,0,1,3,0,21,0.0,56,195:50,15:04,0,0,,11,11,6,8,
Joakim Andersson,23,DET,C,38,3,5,8,2,8,3,0,0,0,4,1,0,43,7.0,68,459:15,12:05,144,166,46.5,12,17,4,16,
Jay Beagle,27,WSH,C,48,2,6,8,-1,14,2,0,0,1,6,0,0,56,3.6,97,581:02,12:06,249,195,56.1,23,55,18,12,
Steve Bégin,34,CGY,C,36,4,4,8,-2,22,3,0,1,2,4,0,0,31,12.9,58,287:46,7:60,57,60,48.7,21,62,4,7,
Chris Butler,26,CGY,D,44,1,7,8,-10,19,0,0,1,0,7,0,0,40,2.5,77,749:41,17:02,0,0,,74,53,8,21,
B.J. Crombeen,27,TBL,RW,44,1,7,8,4,112,1,0,0,0,7,0,0,50,2.0,84,487:38,11:05,4,16,20.0,15,44,11,7,
Brenden Dillon,22,DAL,D,48,3,5,8,1,65,3,0,0,1,5,0,0,75,4.0,161,1026:14,21:23,0,0,,74,133,8,20,Calder-10
Patrick Eaves,28,DET,RW,34,2,6,8,-1,4,2,0,0,1,5,1,0,42,4.8,75,359:48,10:35,7,4,63.6,11,40,7,4,
Cory Emmerton,24,DET,C,48,5,3,8,-1,4,5,0,0,0,2,1,0,55,9.1,87,518:57,10:49,187,226,45.3,26,28,10,2,Byng-56
Mark Fraser,26,TOR,D,45,0,8,8,18,85,0,0,0,0,8,0,0,33,0.0,91,763:05,16:57,0,0,,102,153,13,26,
Mikael Granlund,20,MIN,C,27,2,6,8,-4,6,2,0,0,0,4,2,0,36,5.6,58,355:49,13:11,97,109,47.1,8,15,8,10,
Erik Gustafsson,24,PHI,D,27,3,5,8,-1,2,3,0,0,1,4,1,0,36,8.3,75,543:59,20:09,0,1,0.0,39,15,7,16,
Matt Hendricks,31,WSH,C,48,5,3,8,-6,73,5,0,0,1,3,0,0,54,9.3,105,562:41,11:43,147,112,56.8,31,93,15,12,
Rostislav Klesla,30,PHX,D,38,2,6,8,0,22,2,0,0,0,6,0,0,44,4.5,96,669:50,17:38,0,0,,60,40,4,5,
Mike Knuble,40,PHI,RW,28,4,4,8,-4,20,3,1,0,1,3,1,0,31,12.9,55,361:45,12:55,4,3,57.1,11,25,3,3,
Mike Kostka,27,TOR,D,35,0,8,8,-7,27,0,0,0,0,3,5,0,49,0.0,121,772:47,22:05,0,0,,66,49,12,31,
Matthew Lombardi,30,2TM,C,28,4,4,8,-2,8,3,1,0,1,3,1,0,44,9.1,77,390:56,13:58,105,131,44.5,14,24,7,8,
Matthew Lombardi,30,PHX,C,21,4,4,8,0,4,3,1,0,1,3,1,0,39,10.3,69,296:56,14:08,79,101,43.9,10,20,5,5,
Matthew Lombardi,30,ANA,C,7,0,0,0,-2,4,0,0,0,0,0,0,0,5,0.0,8,94:00,13:26,26,30,46.4,4,4,2,3,
Derek MacKenzie,31,CBJ,C,43,3,5,8,1,36,3,0,0,0,5,0,0,33,9.1,60,444:34,10:20,192,131,59.4,19,122,12,5,
Ryan Malone,33,TBL,LW,24,6,2,8,-3,22,4,2,0,1,2,0,0,37,16.2,55,377:43,15:44,9,14,39.1,9,49,14,7,
Jamie McBain,24,CAR,D,40,1,7,8,0,12,1,0,0,0,7,0,0,46,2.2,101,736:58,18:25,0,0,,63,22,8,18,
Drew Miller,28,DET,LW,44,4,4,8,-8,2,3,1,0,2,4,0,0,54,7.4,88,607:57,13:49,1,3,25.0,41,81,12,8,Byng-29
Torrey Mitchell,28,MIN,C,45,4,4,8,-8,21,4,0,0,1,4,0,0,39,10.3,73,472:26,10:30,21,21,50.0,22,47,14,8,
Tyler Myers,22,BUF,D,39,3,5,8,-8,32,2,1,0,2,3,2,0,48,6.3,102,831:14,21:19,0,0,,56,58,11,30,
Brooks Orpik,32,PIT,D,46,0,8,8,17,32,0,0,0,0,8,0,0,32,0.0,72,1025:19,22:17,0,0,,114,119,5,19,Norris-18
Chris Porter,28,STL,C,29,2,6,8,5,0,2,0,0,2,6,0,0,46,4.3,66,337:26,11:38,25,33,43.1,5,65,5,2,
Luca Sbisa,23,ANA,D,41,1,7,8,0,23,1,0,0,1,4,3,0,39,2.6,100,813:12,19:50,0,0,,57,99,10,13,
Brendan Smith,23,DET,D,34,0,8,8,1,36,0,0,0,0,6,2,0,33,0.0,87,625:38,18:24,0,0,,35,20,10,27,
Jordin Tootoo,29,DET,RW,42,3,5,8,0,78,3,0,0,1,4,1,0,45,6.7,79,381:29,9:05,0,0,,7,68,11,8,
Brandon Yip,27,NSH,RW,34,3,5,8,-3,26,3,0,0,0,5,0,0,35,8.6,54,409:22,12:02,8,13,38.1,7,46,6,12,
Mats Zuccarello,25,NYR,LW,15,3,5,8,10,8,3,0,0,0,3,1,1,27,11.1,52,246:22,16:25,0,4,0.0,15,27,6,5,
Michal Handzuš,35,2TM,C,39,2,6,8,-2,16,2,0,0,0,6,0,0,41,4.9,68,512:15,13:08,236,190,55.4,30,31,16,14,
Michal Handzuš,35,SJS,C,28,1,1,2,-9,12,1,0,0,0,1,0,0,31,3.2,52,379:03,13:32,165,132,55.6,23,22,8,13,
