Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Kraig Nienhuis,24,BOS,LW,70,16,14,30,-10,37,13,3,0,2,12,2,0,120,13.3,,,
Steve Tambellini,27,VAN,C,48,15,15,30,-17,12,9,6,0,2,9,6,0,89,16.9,,,
Mike Blaisdell,26,PIT,RW,66,15,14,29,15,36,15,0,0,0,12,2,0,124,12.1,,,
Joe Cirella,22,NJD,D,66,6,23,29,-11,147,4,2,0,0,14,9,0,89,6.7,,,
Jim Johnson,23,PIT,D,80,3,26,29,11,115,3,0,0,0,19,7,0,118,2.5,,,
Lee Norwood,25,STL,D,71,5,24,29,4,134,3,2,0,1,13,11,0,112,4.5,,,
Norm Schmidt,23,PIT,D,66,15,14,29,7,57,12,3,0,0,10,3,1,141,10.6,,,
J.J. Daigneault,20,VAN,D,64,5,23,28,-18,45,1,4,0,0,10,13,0,115,4.3,,,
Greg Gilbert,24,NYI,LW,60,9,19,28,6,82,8,1,0,2,15,4,0,58,15.5,,,
Randy Gregg,29,EDM,D,64,2,26,28,31,47,2,0,0,0,20,4,2,56,3.6,,,
Doug Lidster,25,VAN,D,78,12,16,28,-10,56,10,1,1,0,13,2,1,152,7.9,,,
Don Maloney,27,NYR,LW,68,11,17,28,18,56,11,0,0,1,12,4,1,89,12.4,,,
Mike Ramsey,25,BUF,D,76,7,21,28,4,117,6,1,0,1,16,5,0,154,4.5,,,"ASG,ASnhl-16,Byng-14"
Craig Simpson,18,PIT,C,76,11,17,28,2,47,8,2,1,0,11,6,0,74,14.9,,,
Hannu Virta,22,BUF,D,47,5,23,28,2,16,4,1,0,0,13,10,0,81,6.2,,,
Curt Giles,27,MNS,D,69,6,21,27,19,30,6,0,0,1,18,2,1,59,10.2,,,ASnhl-16
Mark Hardy,26,LAK,D,55,6,21,27,-13,71,3,2,1,1,9,11,1,113,5.3,,,
Pierre Larouche,30,NYR,RW,28,20,7,27,-6,4,13,7,0,2,5,1,1,85,23.5,,,
Joe Paterson,25,2TM,LW,52,9,18,27,-4,165,7,2,0,1,13,5,0,79,11.4,,,
Joe Paterson,25,PHI,LW,5,0,0,0,2,12,0,0,0,0,0,0,0,4,0.0,,,
Joe Paterson,25,LAK,LW,47,9,18,27,-6,153,7,2,0,1,13,5,0,75,12.0,,,
Colin Patterson,25,CGY,RW,61,14,13,27,8,22,14,0,0,1,12,0,1,84,16.7,,,
Darryl Sutter,27,CBH,LW,50,17,10,27,-15,42,14,3,0,2,8,2,0,89,19.1,,,
Doug Jarvis,30,2TM,C,82,9,18,27,3,36,6,0,3,0,17,0,1,74,12.2,,,Selke-7
Doug Jarvis,30,WSH,C,25,1,2,3,-5,16,1,0,0,0,2,0,0,19,5.3,,,
Doug Jarvis,30,HAR,C,57,8,16,24,8,20,5,0,3,0,15,0,1,55,14.5,,,
Greg Smith,30,2TM,D,76,5,22,27,-6,94,5,0,0,0,18,4,0,59,8.5,,,
Greg Smith,30,DET,D,62,5,19,24,-9,84,5,0,0,0,16,3,0,53,9.4,,,
Greg Smith,30,WSH,D,14,0,3,3,3,10,0,0,0,0,2,1,0,6,0.0,,,
Lee Fogolin,30,EDM,D,80,4,22,26,46,129,4,0,0,0,20,0,2,71,5.6,,,ASG
Gaston Gingras,26,MTL,D,34,8,18,26,-10,12,1,7,0,0,10,8,0,77,10.4,,,
Tim Higgins,27,NJD,RW,59,9,17,26,8,47,7,2,0,1,16,1,0,90,10.0,,,
Brad Maxwell,28,TOR,D,52,8,18,26,-27,108,4,4,0,0,7,11,0,93,8.6,,,
Dana Murzyn,19,HAR,D,78,3,23,26,0,125,3,0,0,1,20,3,0,80,3.8,,,AR-1
David Shaw,21,QUE,D,73,7,19,26,13,78,5,2,0,2,15,3,1,128,5.5,,,
Michael Thelvén,25,BOS,D,60,6,20,26,7,48,5,1,0,0,8,11,1,108,5.6,,,
Wilf Paiement,30,2TM,RW,52,8,18,26,2,158,6,2,0,0,15,3,0,89,9.0,,,
Wilf Paiement,30,QUE,RW,44,7,12,19,0,145,5,2,0,0,10,2,0,75,9.3,,,
